,target,text,stance,stance_confidence,sarcasm,sarcasm_confidence,sentiment,sentiment
1421,Covid Vaccine, تفاءل  وكن إيجابيا اعتبر #كورونا  تطعيم لزيادة المناعة و #الصحة العامة لدينا....,Favor,1.0,No,1.0,Neutral,0.699
1422,Covid Vaccine,"""ضريبة التأخير في الحصول على اللقاح تتضاعف يومياً"" | وام     #لقاح_كورونا #تطعيم #دكتورة_فريدة #صحة #الامارات ",Favor,1.0,No,1.0,Positive,0.4091
1423,Covid Vaccine,إلهي يا رحمن يارحيم  يا عالم الغيب ورب السموات والأرض  احفظنا ومن نحب بعينك التي لا تنام... فأنت يا سيدي تعلم ما لا نعلم وانت خير الحافظين 🤲🏻💔   #لا_للتطعيم_الاجباري #كورونا #الكويت #تطعيم_الاطفال 💔,Against,0.7352,No,1.0,Neutral,0.6943
1424,Covid Vaccine,MENTION البدء بخطة الجرعة التنشيطية يجب ان تفعل حالاً لتجنب الموجة الثالثة  والبدء بأصحاب السن المتقدم والامراض المخفضة لجهاز المناعة سواء بسبب المرض او بسبب الأدوية,Favor,0.7504,No,1.0,Neutral,0.6469
1425,Digital Transformation,انشاء وزارة او هيئة التحول الالكتروني أصبحت ضرورية جدا تعمل على تنفيذ خطة مرسومة لتقديم الخدمات  الالكترونيه في كافة الجهات الحكومية والعمل على  مراقبة وتطوير وصنع التحول الالكتروني في كافة الخدمات المقدمة من تلك الجهات دون استثناء اي جهة حكومية من بند التحول الالكتروني,Favor,0.7429,No,0.8185,Neutral,0.4178
1426,Digital Transformation,التحول الرقمي وبذكاء   اعتقد ان الشعب السعودي مهيئ للاستغناء عن النقد واستبداله بالدفع الإلكتروني  لكن المنافسة هنا بين التطبيقات أيها سيكون أسهل   مثلا توكلنا لا يعمل بدون خدمة تحديد الموقع.  Stcpay  ZainPay وغيرها ستنافس على هذه الخدمة ايضا URL,Favor,1.0,No,1.0,Positive,0.7742
1427,Covid Vaccine,تم بحمد الله أخذ الجرعة الاولي من تطعيم كورونا اللهم إجعل فيها سببا للشفاء و العافية شكرا حكومتنا الرشيدة شكرا  لحسن التنظيم و الترتيب شكرا للعاملين على حسن الاستقبال و الترحيب بارك الله في جهود الجميع ,Favor,1.0,No,1.0,Positive,1.0
1428,Covid Vaccine,بريطانيا تشتري 114 مليون من تطعيم فايزر وموديرنا للسنتين القادمتين مع إمكانية التعديل عليها بما يضمن مواجهة أي تحورات قادمة  #كورونا #أوميكرون,Favor,0.7489,No,1.0,Neutral,0.7232
1429,Digital Transformation," وتكفي شر مقولة ""تجي متاخر يقول ليك الخزنة قفلت تعال بكرة الصباح بدري 😑""  بتمكنك من الشراء اونلاين مثلا من السوق المفتوح وغيرها من خدمة الشراء خدمة توصيل الطلبات وخدمة توصيل الاطعمة اونلاين  هل تعلم انو التحول الزقمي للدفع الالكتروني شغال في",Favor,1.0,No,1.0,Positive,0.7278
1430,Covid Vaccine,"للعلم:  - تم تطعيم اكثر من مليون شخص حتى الان في الولايات المتحدة ضد مرض كوفيد ١٩.  عدد الوفيات ""بسبب التطعيم"" : صفر !  - عدد الوفيات  بسبب مرض كوفيد ١٩ : عشرات الآلاف !  #تطعيم  #كورونا #كوفيد_19",Favor,1.0,No,1.0,Neutral,0.693
1431,Covid Vaccine,#الهند  #فيروس_كورونا #استجواب_وزير_الصحه   يجب تطعيم أكثر من ٦٠٪ - ٧٠من المجتمع  قبل نهاية٢٠٢١ إذا أردنا الوصول للمناعة المجتمعية وهذا يستلزم وجود خطة واضحة مرتبطة في وقت تنجز أهدافها على مراحل وتضع في الحسبان كافة السيناريوهات المختلفة إذا أردنا سرعة العودة إلي #الحياة_الطبيعية,Favor,1.0,No,1.0,Neutral,0.5747
1432,Covid Vaccine,MENTION MENTION كنت جاهلة وصفيرة وما اعرف خطورة اللقاحات والله يغفر لي والحين عرفت الحمدلله فقررت اني ما اخذ تطعيم كورونا انا حرة 😅,Against,1.0,No,1.0,Negative,0.6077
1433,Digital Transformation, التحول الإلكتروني في كل المعاملات هو الحل  سياده الوزير استفيدو من تجربه السعودية لديها نظام إلكتروني قوي في المعاملات التجارية في المرور في المستشفيات و كل بقية المجالات,Favor,1.0,No,1.0,Positive,1.0
1434,Covid Vaccine,✅done  تنظيم رائع وجهود مشكوره 🙏 لكل القائمين بمركز الكويت للتطعيم .   #لقاح_كوفيد_19 #تطعيم_كورونا ,Favor,1.0,No,1.0,Positive,1.0
1435,Covid Vaccine,لوقاية أطول ولحماية أشمل خذ الجرعة الثانية .  #تطعيم_كورونا #مناعة_مجتمعية #كورونا_الكويت ,Favor,1.0,No,1.0,Neutral,0.6796
1436,Digital Transformation, لازم نفرق بين التحول الإلكتروني والكفاءة,Favor,1.0,No,1.0,Positive,1.0
1437,Digital Transformation,التحول التقني الذي تعيشه بلادنا #إهداء_للتاريخ,Favor,1.0,No,1.0,Positive,1.0
1438,Covid Vaccine,الجرعة الثالثة من تطعيم كورونا تمت 💪💪 الحمدلله,Favor,1.0,No,1.0,Positive,1.0
1439,Covid Vaccine,التطعيم امر واجب و اي حد بيفكر في نظرية مؤامرة في رأيي انه يعتبر قتل مع سبق الاسرار و الترصد بفكره للبشر إللي بتقرا كلامه #تطعيم_كورونا,Favor,1.0,No,1.0,Neutral,0.684
1440,Covid Vaccine,التطعيم مش خطر انك تاخده التطعيم خطر لو ما اخدتوش اتطعم و احمي نفسك #تطعيم #كورونا,Favor,0.7282,No,1.0,Positive,0.6213
1441,Covid Vaccine,نحمد الله أخذت #تطعيم_كورونا قبل قليل. ما رأيناه هذا اليوم من تنظيم ورقي في الخدمات وإحترافيه في العمل وحرص على صحة الجميع يجعل كل سعودي يشعر بالفخر أنه ينتمي لهذا الوطن العظيم الشامخ. ماتقدمه  #السعودية_العظمى أنموذج يدرس لجميع دول العالم الأول    ,Favor,1.0,No,1.0,Positive,1.0
1442,Digital Transformation, ان شاء الله سنشهد المزيد من التحول الالكتروني بالخدمات في مختلف المؤسسات بعد ان اثبتت نجاحها في الفترة الماضية,Favor,0.7585,No,1.0,Positive,0.5993
1443,Covid Vaccine,#لا_للتطعيم_الاجباري56  شفت حق الصحة في سناب يقول مرض كورونا خطير و ( يبحلق بعيونه) ويحث الآباء و الأمهات على تطعيم أطفالهم!  طيب هل عندنا وفيات كثيرة لأطفال بسبب كورونا؟ !!!  ايش هذا,Against,1.0,No,1.0,Neutral,0.6566
1444,Covid Vaccine,#وزارة_الصحة #تطعيم_كورونا بحمد الله وفضله اخذنا اليوم الجرعه الأولي من التطعيم لوباء كرونا فلقد كانت تجربه نشعر فيها بالفخر والاعتزاز لبلدنا المعطاء اولا ثم بالإجراءات التى تفوق الوصف من حيث التنظيم والأستقبال الممتاز بأيدى شباب وشابات الوطن الذين ادوا مهامهم بنجاح واقتدار 🌹 ,Favor,1.0,No,1.0,Positive,1.0
1446,Covid Vaccine,#لا_للتطعيم_الاجباري37  البحرين لم تحقق المناعه المجتمعيه رغم تطعيم اغلب الى جميع الشعب !! بل اصبح هناك كارثه انسانيه !!  كورونا حرب بيولوجيه هذي الحقيقه و اللقاح اداة من ادوات المسرحيه,Against,1.0,No,1.0,Negative,0.6509
1447,Digital Transformation,دائمًا وأبدًا التحول التقني مبدعين 💜👏🏻    كل عام وأنا معاكم 🤝 URL,Favor,1.0,No,1.0,Positive,1.0
1448,Digital Transformation,#وزارة_العدل    مع توجه الدولة في مكافحة وحماية المواطن من كورونا من المفترض إيقاف التعامل المباشر مع المراجعين خلال هذه الفترة وإستبداله بالتعامل الإلكتروني خاصة أن الوزارة خطت خطوات كبيره في التحول الرقمي وتسعى للتحول الكامل .. وشكرا,Favor,0.7469,No,1.0,Positive,1.0
1449,Women empowerment,   المرأة جزء لا يتجزأ من المجتمع لا يقل أهمية أو مستوى من الرجل. تمكين المرأة ومنحها كامل حقوقها كمواطنة سعوديه  ليس ترفًا، بل ضرورة ان اردنا الدفع بوطننا إلى مستقبل أفضل 🌹,Favor,1.0,No,1.0,Positive,0.8467
1450,Women empowerment,نجحت السعودية بدعم ولي العهد محمد بن سلمان في تمكين المرأة وأصبحنا نرى اليوم نساء سعوديات في مواقع قيادية مهمة لا ننكر بأن #المراه_نصف_المجتمع واساس بناء الوطن 💚💚,Favor,1.0,No,1.0,Positive,1.0
1451,Digital Transformation, دكتور عبداللطيف اسعد الله مسائك التحول الإلكتروني لم يجدي نفع مع وزارتكم يتم الاتصال عل هاتف الوزاره منذ اسبوع للسؤال عن معامله يفصل الخط قبل الوصول لمن يقدم الخدمه موضوعي لديكم منذ شهر بلا حلول لاتسمح الظروف للسفر والمراجعه,Against,1.0,No,1.0,Neutral,0.4028
1452,Digital Transformation, اقترح انا تحول ميزانية طباعه الكتب الدراسية لتوفير أجهزة ايباد للطلاب تحوي على مقررات إلكترونية تماشيا مع المرحلة الحالية التحول للتعليم الالكتروني فالأوراق أصبحت من الماضي,Favor,1.0,No,1.0,Positive,1.0
1453,Covid Vaccine,اتمنى تطعيم كورونا يصير اجباري عشان تعرفون تروجون اشاعات و تألفون يا اطباء يا علماء الأوبئة,Favor,1.0,Yes,1.0,Neutral,1.0
1454,Covid Vaccine,#لا_للتطعيم_الاجباري #لا_للتطعيم_الاجباري41 (التطعيمات القديمه التقليديه) مثل تطعيمات الجدري والسل وغيرها هذه تطعيمات عبره عن (جرثومه ميته) اما(لقاحات كورونا) هذه ليست تطعيم ومن الغباء نطلق عليها تطعيم هذه عباره عن (شفره جينات وراثيه) لا علاقه بالتطعيمات بها اكسفورد مودرنا فايزر URL,Against,1.0,No,1.0,Neutral,1.0
1455,Covid Vaccine,#لا_للتطعيم_الاجباري84 لقاح كورونا ليس تطعيم لقاح كورونا لم يثبت فعاليته أمام كورونا فلماذا إجبار الناس والكذب عليهم ومضايقتهم في سفرهم وعملهم؟ التطعيمات التقليديه القديمه أثبتت فعاليتها اما لقاح كورونا لم يثبت فعاليته ومن لقح يعتبر غير محصن ويجب معاقبة من يفرض اللقاحات وتغريمه,Against,1.0,No,1.0,Neutral,0.708
1456,Women empowerment,نعم ... لابد من تمكين المراة ... بشرط الكفاءة والمهنية والنزاهة ... وليس تمكين المرأة لكونها ..مرأة .. فقط. ,Favor,1.0,No,1.0,Neutral,0.5756
1457,Covid Vaccine,MENTION يجب أن يتم تطعيم الجميع   يجب أن يكون إلزاميًا ... تنتهي حريتك عندما تبدأ في إيذاء الآخرين!  كابوس كورونا هذا لن يزول حتى يتم تطعيم الجميع!,Favor,1.0,No,1.0,Positive,0.6827
1458,Covid Vaccine,الحمد لله تم أخذ تطعيم كورونا الجرعة 2 ,Favor,1.0,No,1.0,Positive,1.0
1459,Digital Transformation,   سبب التأخير في ذلك هي عقلية المسؤول ؛ لو كان المسؤول داعمًا للتحول الإلكتروني بيصير التحول سريعا وتتغير جميع المفاهيم,Favor,0.7416,No,1.0,Positive,0.7454
1460,Covid Vaccine,أخدت تطعيم #كورونا وشجعت كل اللي أعرفهم ياخدوه بس أنا ضد شغل الحكومات القذر في حبس الشعوب والحد من حرية تحركهم بل ومراقبتهم. صديق مقيم في أستراليا وصل #مصر بعد حبس سنتين وشوية تقريبا لإن القارة قفلت علي نفسها تماما! سيناريو مريب ماكنتش حأصدقه لو إتعمل فيلم.,Favor,1.0,No,1.0,Neutral,0.6138
1461,Digital Transformation,لا يختلف اثنان أن فيروس #كورونا تسبب بخسارة في الارواح والاقتصاد بكل دول العالم  إلا أنه فرصة للتحول نحو حياة أخرى من التحول الرقمي والذكاء الاصطناعي.   والحياة بعد زوال الفيروس ليس كما قبله. ظرف اجباري نحو التغييرات الجذرية.  على مستوى الأفراد  هذه الأيام فرصة  فلنحسن الاستثمار.,Favor,1.0,No,1.0,Positive,1.0
1463,Women empowerment,"""مشروع تمكين المرأه عندنا ثلاث أرباعه مشروع علاقات عامة ودعاية، أصلاً (تمكين المرأة) فكرة أبوية"".  - #محمد_الربيعه",Against,0.8135,No,0.8522,Neutral,0.4476
1464,Covid Vaccine,لا تتردد وبادر فورًا بأخذ تطعيم #كورونا من أجل أهلك ومجتمعك. #اللقاح_طريقنا_للتعافي ♥️. URL,Favor,1.0,No,1.0,Positive,0.7131
1465,Women empowerment, الارتقاء بمجتمعنا يأتي من خلال الارتقاء بدور المرأة ومكانتها و تمكين خياراتها و حريتها,Favor,1.0,No,1.0,Positive,0.7133
1466,Digital Transformation,اننا في عصر التحول الرقمي.. فكر بالتقنية لانها مستقبل التجارة العالمية.. من لا يملك فكر رقمي تقني في تجارته فسوف تنتهي تجارته قريباً..,Favor,0.7636,No,1.0,Positive,0.5003
1467,Digital Transformation,    المهارات الرقمية هي محور المستقبل لكن للاستعداد للمستقبل بشمولية وبأسلوب يحيط بكافة جوانب نموذج الاعمال المستقبلي يجب تنمية جانب المهارت المعرفية الانسانية كالتواصل والتنسيق وحل المشكلات والعمل الجماعي باطار رقمي ي,Favor,1.0,No,1.0,Positive,0.7366
1468,Digital Transformation, هناك تهويل للتحول الرقمي في مجتمعاتنا..  دور النشر الكبرى لا تزال تركز على المطبوع.. وحينما تسألها عن السبب ستقول لك أن الكاش والربح هناك..  والكثير من تجارب التحول الرقمي فشلت..,Against,1.0,No,1.0,Negative,0.7446
1469,Women empowerment,تمكنت المرأة في الخليج من تولي مراكز قيادية في شتى المجالات،مما يبشر بغد أفضل.  في#اليوم_العالمي_للمرأة نود أن نأكد بأن تمكين المرأة يؤدي إلى نتائج اجتماعية واقتصادية إيجابية  لأنفسهم وعائلاتهم ومجتمعاتهم.      ,Favor,1.0,No,1.0,Positive,1.0
1470,Digital Transformation, خطوة ممتازة من المجلس ونرجوا المزيد من التقدم لانجاز خطة التحول الالكتروني لجميع محاكم السلطنة,Favor,0.7446,No,1.0,Neutral,1.0
1471,Digital Transformation,تصميم مواقع   شركة تو ايجي تقدم رؤية جديدة لعملائها في تصميم مواقع الكتروني للشركات والمؤسسات الجديدة بـ اسعار تتناسب مع الجميع مقابل خدمات متكاملة تساعدك في التحول الرقمي مع النظام الالكتروني الجديدة في المملكة العربية السعودية. #تصميم_مواقع URL URL,Favor,1.0,No,1.0,Positive,1.0
1472,Digital Transformation, فترة كورونا رغم مرها  الا انها خلفت اشياء كثير جميلة  منها التحول التقني الكامل بكل شي,Favor,1.0,No,1.0,Neutral,0.4252
1473,Digital Transformation,     اليوم بفضل الله السعوديه من افضل خمسة دول في العالم في التحول الرقمي والذكاء الاصطناعي والمواطن والمقيم في السعودية بضغطة زر وهوا في بيته بيعمل كل الخدمات وانت خليك صف سرا طول النهار ع,Favor,1.0,No,1.0,Negative,0.598
1474,Digital Transformation,التحول التقني بحيث تصبح الأعمال عبر الأنظمة؛ يجب أن يصل إلى حدّ معين  بحيث لا تتغوّل التقنية  وتتعارض مع خصوصيات الناس وحرياتهم وتضعِف قدراتهم العقلية والاجتماعية واليدوية  وهو أمر لا يهم أهل التقنية  بل علماء الاجتماع وفلسفة التقنية. إنه شأن اجتماعي وأخلاقي وإنساني لا تقني فقط.,Against,1.0,No,1.0,Negative,0.7546
1475,Women empowerment, كل الشكر و التقدير لجهودكم لدعم و تمكين المرأة,Favor,1.0,No,1.0,Positive,1.0
1476,Digital Transformation,التحول إلى التعليم الإلكتروني قد يكون نقطة تحول للطلاب من التراجع العلمي إلى تحمل المسؤولية والتعلم الذاتي الذي يقود إلى الإبداع التنافسي وريادة الأعمال /موضوع جدير بالدراسة,Favor,1.0,No,1.0,Positive,1.0
1477,Digital Transformation,  عزيزي أمجد انا ضد قرار الغاء الفصل  انا اخوض نفس التجربة معكم موظف وطالب في نفس الوقت 😁  هذا انسب وقت لكي نساهم في التحول الإلكتروني ومواكبة العصر التقني  غير ذلك قرار إلغاء فصل من عدمه ليس مقتصر على الكلية ولكن وزارة التعليم العا,Favor,1.0,No,1.0,Positive,1.0
1478,Digital Transformation, قرارات هذه الوزارة عجيبة جدا  الآن التوجه الى التحول الرقمي  وبالأمس القريب تم إنهاء تكليف أمناء مصادر التعلم ممن كان لهم بصمة واضحة لقيادة الإنجاز التقني  فهل ستبدأ وزارتنا من الصفر ؟😂,Favor,1.0,No,1.0,Positive,1.0
1479,Covid Vaccine,MENTION اي تطعيم لازم سنتين عشان يوافقون عليه لكن لقاح كورونا لم يوضع تحت التجربة ومنظمة الصحة العالمية قالت تحت التجربة مو أنا ..يعني نتايج أمان اللقاح ماراح تظهر الا بعد سنتين,Against,0.7488,No,1.0,Neutral,0.7048
1480,Covid Vaccine,MENTION MENTION MENTION تطعيم كورونا  اتجار بالبشر  من الاخيرررررر,Against,0.7438,No,1.0,Negative,0.5819
1481,Covid Vaccine, اخوي هاني التطعيم لا يسمن ولا يغني من جوع فائدته نفسية فقط وهي سلاح ذو حدين من يفكر بالعقل ويرجع لتاريخ التطعيمات بشكل عام لمختلف الأمراض يصل لقناعة بعدم جدوى تطعيم كورونا,Against,1.0,No,1.0,Negative,1.0
1482,Digital Transformation,أزمة كورونا أثبتت وبشكل قاطع بأن التحول الإلكتروني للخدمات الحكومية أصبح ضرورة ....   معاملات ...الخ,Favor,0.7253,No,1.0,Positive,0.745
1483,Digital Transformation, السلام عليكم ورحمة الله وبركاته ما شاء الله تبارك الله خدمات ممتازه جدا خمس طلبات مواعيد مرفوضه وراجعنا المحكمه وقالوا موعد هذا التحول الإلكتروني والا فلا تحياتي لكم محاكم بلا  ورق,Favor,1.0,No,1.0,Negative,0.402
1484,Digital Transformation,  التحول الإلكتروني سيأتي بحجج جديدة لتعطيل مصالح الناس؟! فالمشكلة ليست في كيفية تسهيل او انهاء المعاملات إنما في كيفية تغيير وغسل فكر الموظفين الذين يعتقدون بان الوظيفة هي سلطة القوي على الضعيف وان المواطن لابد من ارهاقه واذلاله حتى ,Against,0.7416,No,1.0,Negative,0.7456
1485,Covid Vaccine, و الله قعدت افكر هذا تطعيم جذي هد حيلي و تعب لو كورونا الله يبعدها عنا جان شصار !!   الحمدلله اللي الدوله وفرت لنا لقاح  و عسى الله يحمي الجميع و يزيل هالوباء 🌹,Favor,1.0,No,1.0,Positive,0.6128
1486,Covid Vaccine,MENTION عيب التنمر على الناس  يوم تطعمت كان بموافقة ولي امري لاني كنت طفلة وتطعيمات باقي الامراض على الاقل معتمدة مو مثل تطعيم كورونا اللي طلعوه تحت بند الطوارئ ويوقعونك على ورقة اخلاء مسؤوليتهم  حاول تثقف نفسك,Against,1.0,No,1.0,Negative,0.6509
1487,Covid Vaccine,MENTION MENTION تطعيم الأطفال ضد كورونا يعتبر جريمة لانهم لا خطر عليهم منه,Against,1.0,No,1.0,Negative,0.6192
1488,Covid Vaccine,مع إنحسار مرض كورونا بالعالم لله الحمد و الركض وراء تطعيم فئة الأطفال تحت ١١ عام يضع مليون علامة إستفهام على أنه غرض تجاري بحت و ليس صحي و ذلك لعدم وجود أدلة مقنعه لتطعيم هذه الفئة #المنطق,Against,1.0,No,1.0,Negative,0.6509
1489,Women empowerment,الي يتكلمون عن #تمكين_المرأة  ينطمون ولا اسمع لهم صوت هكذا تدمجون المرأة في سوق العمل ان اشوف ان هذه اهانه ل #السعودية قبل ان تكون اهانه للمرأه #رساله_لجنودنا_اسود_الوطن #تصويري ,Against,1.0,No,1.0,Negative,1.0
1490,Covid Vaccine,   في سنة وحده بس ٢٠١٥ ..اربعة و ستين ألف متوفي من الانفلونزا..هذا و هو بعد العلاجات المتوفره و التطعيمات. ما حجرونا و لا اجبرونا على تطعيم. كورونا بقدرة قادر صارت جائحة و كل المتوفين اجباري يكتب في شهادة الوفاة كورونا و هم مت,Against,0.6177,No,1.0,Neutral,0.708
1491,Digital Transformation, واضح أنه فقط تجميع للخدمات الموجودة حاليا اونلاين ولكن في تطبيق واحد  هذا لا يسمى تحول رقمي! لا يوجد شي اسمه حجز و انتظار مواعيد للحضور وانجاز معاملتك ورقيا   هذا تعطيل و استخفاف بالعقول! التحول الرقمي يحتاج الى تغيير بالواقع !,Favor,0.7424,No,1.0,Neutral,0.5853
1492,Digital Transformation, السلام عليكم   هل يستغرق تحديث الصك أكثر من شهرين خصوصاً وأن الصك ليس بالقديم والمساحه ليست كبيره .   عند الدخول للموقع (لايزال تحت الأجراء) منذثلاثه أشهر ... اذا كان الهدف من التحول الالكتروني سرعه الأداء والأنجاز        فهذا مالم يتحقق وهناك  مش,Against,0.409,No,1.0,Negative,0.7519
1493,Women empowerment, تمكين المرأة = تمكين التغريب,Against,1.0,No,1.0,Negative,0.5117
1494,Covid Vaccine,#لا_للتطعيم_الاجباري80  يحق لك الضمان على السيارة او الأجهزة عند الشراء  ولكن لا يحق لك الضمان عند تلقي تطعيم لجسدك بكل لقاحات كورونا الحالية والجديدة  بل المسؤولية بالكامل على متلقي اللقاح  وتخلي الشركات المصنعة مسؤوليتها تماما!!!!,Against,1.0,No,1.0,Neutral,1.0
1495,Covid Vaccine,#لا_للتطعيم_الاجباري17 حسبي الله ونعم الوكيل المفروض يخلونه حريه شخصيه اللي يبي يطعم واللي ما يبي كيفه ترى كلها ابره ما راح تحميني من كورونا ولا غيره وانا ضد تطعيم الإجباري لأن حياتي مو لعبه بيدينهم اللي خلني هو يحميني وانا انسانه عايشه حياتي مع مرض مزمن من لمن ولدت لـ اليوم ذا و,Against,1.0,No,1.0,Negative,0.6077
1496,Covid Vaccine,الحمد لله، والدتي اخدت الجرعة الثانية من تطعيم كورونا ( سينوفارم)، الحمد لله ...شكرا وزارة الصحة ,Favor,1.0,No,1.0,Positive,1.0
1497,Digital Transformation, مستقبل مرعب ينتظرنا  سنتحول فيه إلى ربوتات تتحرك بلا مشاعر أو أحاسيس فقدنا لذة الحياة ومتعتها بسبب التسهيلات المبالغ فيها بسبب التقدم التقني  بالأمس إعلان عن إغلاق 45 فرع بنكي بسبب التحول للبنوك الألكترونية والاستغناء عن مئات الموظفين  حيا,Against,0.4072,No,1.0,Neutral,0.5868
1498,Digital Transformation, تحديث الصكوك تستغرق وقت طويل بالاشهر بعد التحول الرقمي والتعامل الالكتروني بينما كان بالايام في التعامل الورقي . وهناك اشاعه بأن الشركة التي تعاقدت معها الوزارة لنقل بيانات الصكوك الى الحفظ الالكتروني تم نقلها وبأخطاء كبيره لذا الوزارة في حرج كبير,Against,1.0,No,1.0,Negative,0.7352
1499,Covid Vaccine,   احنا نتعلم شلون ندير أوادم وعلمونا المنطق ونعرف أجسامنا شلون نشتغل  ما نعرف طب لكن نسأل الدكاترة ونتعلم منهم (قبل كورونا) ونفهم المناعة شلون تكون  ولو الدنيا ماشية على التطعيم ما عاش الرسول صلى الله عليه وسلم ولا ال,Against,0.7405,No,1.0,Neutral,0.6898
1500,Covid Vaccine,MENTION MENTION يريدون مكاسب مالية هذا الواضح من تطعيم الاطفال رغم ان كورونا لا تؤثر عليهم بعد الله,Against,1.0,No,1.0,Negative,0.6259
1501,Women empowerment,أعجبني كلام إمرأة اليوم عندما أكدت على أهمية #تمكين_المرأة ولكن يجب كذلك أن لا ترهق نفسها بهذا التمكين. بمعنى أن لا تكلف نفسها فوق طاقتها فهي في الأول والأخير بشر، يسقط ثم ينهض لكي لا يكرر سقوطه,Favor,1.0,No,1.0,Positive,0.818
1502,Women empowerment,#نساء_المستقبل | نبارك لسعادة الدكتورة #تهاني_الدسيماني  اختيار ورقتها العليمة ضمن 21 مشاركة بالمؤتمر الدولي للتعليم المفتوح | #نفخر_بك  #تمكين_المرأة ,Favor,1.0,No,1.0,Positive,0.7808
1503,Covid Vaccine,#تطعيم كورونا: سبق وان اجبت بالنفي عن اخذ التطعيم ولكن بعد دراسة متانية والاطلاع على نتيجة دراسة علمية حديث جداً موثقة موثوقة اصبح لدي قناعة بناء على هذه المعلومات ان التطعيم امن ويعطي مناعة جيدة وطويلة بناء على دراسة اطباء وممارسين صحيين اخذوا التطعيم وتمت متابعتهم ستة اشهر ,Favor,1.0,No,1.0,Neutral,0.7196
1504,Women empowerment,⁧#رؤية_2030_واقع_يتحقق⁩ نعم يتحقق  ١- قائد الإصرار      ٢-  قائد طموح  ٣- قائد مجدّد  ٤- قائد ملهم    ٥-  قائد الحالمين   ٦-  قائد التطور والنهضة ٧- قائد تمكين المرأه السعوديه في كثير من المجالات  دمتم لنا قيادتنا الحكيمه فخراً وعز  ⁦,Favor,1.0,No,1.0,Positive,1.0
1505,Women empowerment,MENTION  طيب دول مثل امريكا وفرنسا وبريطانيا وتركيا وماليزيا وسنغافورة  ليه ما نخليها نماذج تحتذى في تمكين المرأة  هناك المرأة في كل الميادين تعمل وتعد تجارب ناجحة,Favor,1.0,No,1.0,Neutral,0.7785
1506,Women empowerment, المرأة لها دور كبير في وظائف عدن ومن الطبيعي تمكين الكفأه منهن بالمناصب القيادية وأتوقع ان يكونوا عند حسن ظن المحافظ والمواطنين,Favor,1.0,No,1.0,Positive,1.0
1507,Digital Transformation,التعلم الذاتي قيمة من يمتلكها يكون قادر على تحقيق الإنجاز وعلى المعلمين في هذه المرحلة الاستعداد للتطبيقات التعليم الإلكتروني وتعلم خطوات تنفيذها.. فالأمر ليس صعباً عمان تخطو نحو التحول الإلكتروني وهذه فرصة نستغلها. فكورونا رغم المآسي التي يحققها إلا أنه يمنحنا فرص كثيرة للتعلم,Favor,1.0,No,1.0,Positive,0.5822
1509,Digital Transformation,  اتفق مع د.أحمد يجب عمل دراسة وتحليل للتحديات والفرص المتاحة للتحول الرقمي خاصة بكل قطاع ومدى فعاليتها و جاهزيتها لهذا التحول,Against,0.7434,No,1.0,Negative,0.7721
1510,Covid Vaccine,MENTION MENTION مطرود 😂🤣 !!يابن حلال حمدالله على نعمة الصحة تدري ولد اخوي رفض تطعيم اصابته كورونا وراح فحص طلع معه لكن بدون اعراض ولا حس بإي عرض واخوانه الي تطعموا تعبانين وحرارة ونغزات عرفت ليه مناعة طبيعية أفضل من لقاحكم الي خذوا غصب تورطوا فيه🤷🏻‍♂️,Against,1.0,No,0.6128,Negative,0.6128
1511,Digital Transformation,في مشاريع التحول  يلزم المزامنة بين  التغيير الثقافي  التغيير الإداري  التغيير التقني  لضمان النجاح بكفاءة عالية,Favor,1.0,No,1.0,Positive,1.0
1512,Digital Transformation, بفضل التطور التقني وتحول الحكومة الى حكومه الكترونية يكون العمل عن بعد لمن لا يريد اخذ اللقاح . هكذا نضمن احترام حريّة المواطن وحفظ حقوقه   مع تحقق المقصود من السلامة الصحيّة . ونحقق مواكبة التطور وتحقيق التحول الالكتروني بشكل اوسع,Favor,1.0,No,1.0,Positive,1.0
1514,Digital Transformation,للأسف الشديد أصبح التعقيد في إنهاء المعاملات للمواطنين بعد التحول الإلكتروني  أصعب من السابق في زمان الاوراق  أقول هذا الكلام من واقع تجربة مريره في البلديه لموضوع بسيط الأصل لايتعدى يومين وانتهى بعد أكثر من ثلاثة اشهر  لله الأمر من قبل ومن بعد واليوم نفس التجربه في التأشيرات,Against,0.5221,No,1.0,Negative,0.7751
1515,Covid Vaccine,لله الحمد والمنة تم تطعيم #الجرعة_الثالثة (التنشيطية) من لقاح فايزر 🧬  +  موسم الشتاء (الانفلونزا) 💉   MENTION URL,Favor,1.0,No,1.0,Positive,1.0
1516,Covid Vaccine,MENTION MENTION MENTION MENTION بسألك سؤال بو عمر وجاوب بصراحه التطعيمات السابقه صح تطعمناها وطعمنا عيالنا هل عمرك سمعت بواحده فيه طاعون او واحد فيه كوليرا ؟! لا لان التطعيمات فعلا حصنت اما تطعيم كورونا تطعم وتصاب وتنقل المرض يعني ماحصن من المرض,Against,0.6129,No,1.0,Negative,0.6011
